"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
316992,"VN-0011","heliport","Năm Căn Heliport",8.754521,104.983229,7,"AS","VN","VN-SW","Năm Căn","no",,,,,,"Năm Căn Airfield"
328642,"VN-0012","closed","Nước Mặn (Marble Mountain) Air Facility",16.029341,108.252693,29,"AS","VN","VN-SCC","Da Nang","no",,,,,"https://en.wikipedia.org/wiki/Marble_Mountain_Air_Facility","Da Nang East Airfield, Khuê Mỹ"
328643,"VN-0013","closed","Red Beach Airfield",16.096,108.143,3,"AS","VN","VN-SCC","Da Nang","no",,,,,"https://en.wikipedia.org/wiki/Red_Beach_Base_Area",
339023,"VN-0014","heliport","Central Pediatric Institute Helipad",21.02465,105.80721,,"AS","VN","VN-RRD","Hanoi (Dong Da)","no",,,,,,
339024,"VN-0015","heliport","Keangnam Tower A Helipad",21.018246,105.784203,,"AS","VN","VN-RRD","Hanoi (Nam Tu Liem)","no",,,,,,
339025,"VN-0016","heliport","Keangnam Tower B Helipad",21.017639,105.783358,,"AS","VN","VN-RRD","Hanoi (Nam Tu Liem)","no",,,,,,
339026,"VN-0017","heliport","Keangnam Hanoi Landmark Tower Helipad",21.016751,105.784181,,"AS","VN","VN-RRD","Hanoi (Nam Tu Liem)","no",,,,,,
342100,"VN-0018","closed","Long Thanh International Airport (under construction)",10.7725,107.045278,249,"AS","VN","VN-SE","Ho Chi Minh City (Long Thanh)","no",,,,,"https://en.wikipedia.org/wiki/Long_Thanh_International_Airport",
351429,"VN-0019","small_airport","Phu Quy Airport",10.53367,108.92867,3,"AS","VN","VN-SCC","Phu Quy","no",,,,,,
354332,"VN-0020","small_airport","Ongkarak Airport (Klong 16)",14.10993,101.00166,6,"AS","TH","TH-26","Ongkarak","no",,,"VT16",,,
354340,"VN-0021","heliport","Đảo An Bang (Amboyna Cay) Helipad",7.891412,112.921032,,"AS","VN","VN-SCC","Trường Sa (Trường Sa)","no",,,,,,
354396,"VN-0022","heliport","Trường Sa Đông (Central London Reef) Helipad",8.930851,112.352639,,"AS","VN","VN-SCC","Trường Sa (Trường Sa)","no",,,,,"https://en.wikipedia.org/wiki/London_Reefs",
354398,"VN-0023","heliport","Đảo Trường Sa (Spratly Island) Hospital Heliport",8.644365,111.918647,,"AS","VN","VN-SCC","Trường Sa (Trường Sa)","no",,,,,"https://en.wikipedia.org/wiki/Spratly_Island",
354399,"VN-0024","heliport","Đảo Phan Vinh (Pearson Reef A) Helipad",8.975395,113.707745,,"AS","VN","VN-SCC","Trường Sa (Đảo Phan Vinh / Pearson Reef A)","no",,,,,,
354401,"VN-0025","heliport","Đảo Sơn Ca (Sand Cay) Helipad",10.373477,114.481165,,"AS","VN","VN-SCC","Trường Sa (Sinh Tồn)","no",,,,,"https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A3o_S%C6%A1n_Ca",
354403,"VN-0026","heliport","Đảo Sinh Tồn (Sin Cowe Island) Helipad",9.884198,114.331133,,"AS","VN","VN-SCC","Trường Sa (Sinh Tồn)","no",,,,,"https://en.wikipedia.org/wiki/Sin_Cowe_Island",
354405,"VN-0027","heliport","Đảo Sinh Tồn Đông (Sin Cowe East Island) Helipad",9.903182,114.563638,,"AS","VN","VN-SCC","Trường Sa (Sinh Tồn)","no",,,,,"https://vi.wikipedia.org/wiki/vi:Sinh Tồn (xã)",
354411,"VN-0028","heliport","Đảo Song Tử Tây (Southwest Cay) Helipad",11.429637,114.332163,,"AS","VN","VN-SCC","Trường Sa (Song Tử Tây)","no",,,,,"https://en.wikipedia.org/wiki/Southwest_Cay",
430076,"VN-0029","closed","Phu Tho Municipal Airport",21.39981,105.20861,138,"AS","VN","VN-NW","Phu Tho","no",,,,,,
430077,"VN-0030","small_airport","Hoa Lac Airfield",21.028592,105.493469,128,"AS","VN","VN-RRD","Hanoi (Thach That)","no",,,,,,
430078,"VN-0031","seaplane_base","Hai Au Seaplane Base",20.916443,106.989654,,"AS","VN","VN-NE","Ha Long","no",,,,,,
430079,"VN-0032","heliport","Tuan Chau Heliport",20.92382,106.99229,3,"AS","VN","VN-NE","Ha Long","no",,,,,,
430080,"VN-0033","heliport","Ha Long Heliport",20.96198,107.05843,226,"AS","VN","VN-NE","Ha Long","no",,,,,,
430081,"VN-0034","heliport","108 Hospital Northeast Heliport",21.01809,105.86157,,"AS","VN","VN-RRD","Hanoi (Hoan Kiem)","no",,,,,,
430082,"VN-0035","heliport","108 Hospital North Tower Heliport",21.01721,105.85995,,"AS","VN","VN-RRD","Hanoi (Hoan Kiem)","no",,,,,,
430083,"VN-0036","heliport","108 Hospital South Tower Heliport",21.01647,105.86016,,"AS","VN","VN-RRD","Hanoi (Hoan Kiem)","no",,,,,,
430088,"VN-0037","closed","Tay Loc Airfield",16.47629,107.56879,,"AS","VN","VN-NC","Huế","no",,,,,"https://en.wikipedia.org/wiki/T%C3%A2y_L%E1%BB%99c_Airfield","Tây Lộc Airfield, Huế Citadel Airfield"
430098,"VN-0038","closed","Bu Dop Airport",12.02068,106.81091,,"AS","VN","VN-SE","Bu Dop","no",,,,,,
430099,"VN-0039","closed","Phuoc Binh Airport",11.82115,106.96111,,"AS","VN","VN-SE","Phuoc Binh","no",,,,,,
430100,"VN-0040","closed","Tan Loi Airport",11.67391,106.66366,,"AS","VN","VN-SE","Tan Loi","no",,,,,,
430101,"VN-0041","closed","Minh Tam Airport",11.58743,106.4887,,"AS","VN","VN-SE","Hon Quan","no",,,,,,
430102,"VN-0042","closed","Dau Tieng Airport",11.28692,106.36333,,"AS","VN","VN-SE","Dau Tieng","no",,,,,,
430103,"VN-0043","closed","Chon Thanh Airport",11.40283,106.6168,,"AS","VN","VN-SE","Chon Thanh","no",,,,,,
430104,"VN-0044","small_airport","Phu Giao Airport",11.30034,106.79325,,"AS","VN","VN-SE","Phu Giao","no",,"PHU",,,,
430105,"VN-0045","closed","Long Khanh Airport",10.91308,107.24561,,"AS","VN","VN-SE","Long Khanh","no",,,,,,
430106,"VN-0046","closed","Thong Binh Airport",10.92421,105.50921,,"AS","VN","VN-SW","Thong Binh","no",,,,,,
430107,"VN-0047","closed","Dak Mil Airport",12.43221,107.66625,,"AS","VN","VN-CH","Dak Mil","no",,,,,,
430108,"VN-0048","closed","Can Tho Army Airfield",10.05125,105.76271,7,"AS","VN","VN-SW","Can Tho","no",,,,,,
430109,"VN-0049","closed","Binh Duong Airport",10.99827,106.69953,,"AS","VN","VN-SW","Binh Duong","no",,,,,,
430110,"VN-0050","closed","Chau Duc Airport",10.56844,107.18631,,"AS","VN","VN-SW","Chau Duc","no",,,,,,"Luscombe"
504740,"VN-0051","heliport","Bãi Vũng Mây 1 (Orleana Shoal) Helipad",7.70309,111.75218,,"AS","VN","VN-SCC","Trường Sa (Trường Sa)","no",,,,,,
504741,"VN-0052","heliport","Bãi Vũng Mây 2 (Kingston Shoal) Helipad",7.5348,111.54725,,"AS","VN","VN-SCC","Trường Sa (Trường Sa)","no",,,,,,
504742,"VN-0053","heliport","Bãi Vũng Mây 3 (Bombay Castle Shoal) Helipad",7.875317,111.744572,,"AS","VN","VN-SCC","Trường Sa (Trường Sa)","no",,,,,,
506005,"VN-0054","closed","Phi Trường Nước Trong (cũ)",10.83481,106.959386,,"AS","VN","VN-U-A",,"no",,,,,,
506042,"VN-0055","medium_airport","TK88",-0.000005,-0.000017,,"AS","VN","VN-CH",,"no",,,,,,
517435,"VN-0056","small_airport","(Non-existant/spam)Hit Club",0.035,0.044,,"AS","VN","VN-NE","Ha Noi","yes",,,,,,
517873,"VN-0057","medium_airport","Sân bay Topnhacaiuytin",58,172,5679,"AS","VN","VN-SW","Hà nội","no",,,,,,
519589,"VN-0058","medium_airport","trongnghiamachinery",0.000001,-0.000001,,"AS","VN","VN-NE",,"no",,,,"https://trongnghia-machinery.com/",,
519679,"VN-0059","small_airport","Delete spam",1.1,-1.1,,"AS","VN","VN-U-A","Quận","no",,,"70000",,,
520056,"VN-0060","small_airport","Delete spam",1.1,-1.1,,"AS","VN","VN-U-A","Phường","no",,,"70000",,,
522368,"VN-0061","large_airport","(SPAM)fun88family",0.01,0.01,,"AS","VN","VN-CH",,"no",,,,"https://fun88.family/",,
522723,"VN-0062","small_airport","(SPAM)Hi88 - Trang Chính Thức HI88 | Đăng Ký - Đăng Nhập",-1.1,1.1,,"AS","VN","VN-U-A","Ba Đình","no",,,"NY",,,"#game_hi88, #hi88asia"
523292,"VN-0063","small_airport","(SPAM)Hướng Dẫn Chi Tiết Cách Chơi Roulette Hay Và Dễ Dàng Chiến Thắng Nhất.",0.0023,0.0029,,"AS","VN","VN-CH",,"no",,,,,,
523293,"VN-0064","small_airport","(SPAM)Khái Quát Về Thuật Ngữ Rồng Hổ Và Mẹo Chơi Tốc Thắng.(",0.003599,0.0018,,"AS","VN","VN-RRD",,"no",,,,,,
523295,"VN-0065","small_airport","(SPAM)Các Cặp Lô Hay Về Cùng Nhau – Mẹo Đánh Dễ Trúng.",0.0013,-0.0013,,"SA","AR","AR-C",,"no",,,,,,
524076,"VN-0066","small_airport","(Mischief)win55mobi",0.02102,0.02102,,"AS","VN","VN-U-A","hanoi","no",,,,,,
35153,"VN-KON","closed","Kontum Airport",14.356075,108.016667,1804,"AS","VN","VN-CH","Kontum","no",,,,,"https://en.wikipedia.org/wiki/Kontum_Airfield","KON, KON"
30760,"VNBG","small_airport","Bajhang Airport",29.538999557495117,81.1854019165039,4100,"AS","NP","NP-P7","Bajhang","no","VNBG","BJH",,,,
30706,"VNBJ","small_airport","Bhojpur Airport",27.14739990234375,87.05079650878906,4000,"AS","NP","NP-P1","Bhojpur","no","VNBJ","BHP",,,,
30701,"VNBL","small_airport","Baglung Airport",28.212799072265625,83.66629791259766,3320,"AS","NP","NP-P4","Baglung","no","VNBL","BGL",,,,
30707,"VNBP","small_airport","Bharatpur Airport",27.678101,84.429398,600,"AS","NP","NP-P3","Bharatpur","yes","VNBP","BHR",,,"https://en.wikipedia.org/wiki/Bharatpur_Airport",
30761,"VNBR","small_airport","Bajura Airport",29.50200080871582,81.66899871826172,4300,"AS","NP","NP-P7","Bajura","no","VNBR","BJU",,,,
30753,"VNBT","small_airport","Baitadi Airport",29.463421,80.548968,4200,"AS","NP","NP-P7","Baitadi","no","VNBT","BIT",,,,
26593,"VNBW","medium_airport","Gautam Buddha International Airport",27.505328,83.412594,358,"AS","NP","NP-P5","Siddharthanagar (Bhairahawa)","yes","VNBW","BWA",,,"https://en.wikipedia.org/wiki/Gautam_Buddha_Airport","Bhairahawa Airport"
26594,"VNCG","small_airport","Bhadrapur Airport",26.5708007812,88.07959747310001,300,"AS","NP","NP-P1","Bhadrapur","yes","VNCG","BDP",,,"https://en.wikipedia.org/wiki/Bhadrapur_Airport","Chandragadhi Airport"
30931,"VNDG","small_airport","Tulsipur Airport",28.111099243164062,82.29419708251953,2100,"AS","NP","NP-P5","Dang","no","VNDG","DNP",,,,
30913,"VNDH","small_airport","Dhangarhi Airport",28.755283,80.583398,690,"AS","NP","NP-P7","Dhangarhi","no","VNDH","DHI",,,"https://en.wikipedia.org/wiki/Dhangadhi_Airport",
30875,"VNDL","small_airport","Darchula Airport",29.668571,80.548199,2132,"AS","NP","NP-P7","Darchula","no","VNDL","DAP",,,"https://www.wikidata.org/wiki/Q35251244",
30936,"VNDP","small_airport","Dolpa Airport",28.985659,82.818703,8200,"AS","NP","NP-P6","Dolpa","yes","VNDP","DOP",,,"https://en.wikipedia.org/wiki/Dolpa_Airport",
32586,"VNDR","small_airport","Dhorpatan Airport",28.492115,83.050644,8950,"AS","NP","NP-P4","Dhorpatan","no","VNDR",,,,,
32301,"VNDT","small_airport","Silgadi Doti Airport",29.262226,80.935968,2100,"AS","NP","NP-P7","Silgadi Doti","yes","VNDT","SIH",,,"https://en.wikipedia.org/wiki/Doti_Airport",
31532,"VNGK","small_airport","Palungtar Airport",28.0385,84.4664,1500,"AS","NP","NP-P4","Gorkha","no","VNGK","GKH",,,,"Gorkha Airport"
31703,"VNJI","small_airport","Jiri Airport",27.626313,86.230581,6000,"AS","NP","NP-P3","Jiri","no","VNJI","JIR",,,,
31712,"VNJL","small_airport","Jumla Airport",29.2742,82.193298,7700,"AS","NP","NP-P6","Jumla","yes","VNJL","JUM",,,"https://en.wikipedia.org/wiki/Jumla_Airport",
26595,"VNJP","medium_airport","Janakpur Airport",26.708799,85.922401,256,"AS","NP","NP-P2","Janakpur","yes","VNJP","JKR",,,"https://en.wikipedia.org/wiki/Janakpur_Airport",
308298,"VNJS","small_airport","Jomsom Airport",28.780426,83.723,8976,"AS","NP","NP-P4","Jomsom","yes","VNJS","JMO",,,"https://en.wikipedia.org/wiki/Jomsom_Airport","Jomosom"
308291,"VNKL","small_airport","Kangel Danda Airport",27.4106333137,86.6465950012,,"AS","NP","NP-P1",,"no","VNKL",,,,,
26596,"VNKT","large_airport","Tribhuvan International Airport",27.6966,85.3591,4390,"AS","NP","NP-P3","Kathmandu","yes","VNKT","KTM",,"http://www.tiairport.com.np/index.php","https://en.wikipedia.org/wiki/Tribhuvan_International_Airport","gaucharan"
31802,"VNLD","small_airport","Lamidanda Airport",27.25309944152832,86.66999816894531,4100,"AS","NP","NP-P1","Lamidanda","no","VNLD","LDN",,,,
28150,"VNLK","small_airport","Lukla Airport",27.686899185180664,86.72969818115234,9380,"AS","NP","NP-P1","Lukla","yes","VNLK","LUA",,,,"Mount Everest, Tenzing Norgay, Sir Edmund Hillary"
31856,"VNLT","small_airport","Langtang Airport",28.200000762939453,85.58300018310547,12000,"AS","NP","NP-P3","Langtang","no","VNLT","LTG",,,,
30106,"VNMA","small_airport","Manang Airport",28.641399,84.089203,11001,"AS","NP","NP-P4","Ngawal","no","VNMA","NGX",,,"https://en.wikipedia.org/wiki/Manang_Airport",
31892,"VNMG","small_airport","Meghauli Airport",27.5774,84.22875,600,"AS","NP","NP-P3","Meghauli","yes","VNMG","MEY",,,"https://en.wikipedia.org/wiki/Meghauli_Airport",
32706,"VNMN","small_airport","Mahendranagar Airport",28.963199615478516,80.14790344238281,650,"AS","NP","NP-P7","Mahendranagar","no","VNMN","XMG",,,,
26597,"VNNG","medium_airport","Nepalgunj Airport",28.1036,81.667,540,"AS","NP","NP-P5","Nepalgunj","yes","VNNG","KEP",,,"https://en.wikipedia.org/wiki/Nepalgunj_Airport",
26598,"VNPK","medium_airport","Pokhara Airport",28.200621,83.981203,2712,"AS","NP","NP-P4","Pokhara","yes","VNPK",,,,"https://en.wikipedia.org/wiki/Pokhara_Airport","PKR"
32172,"VNPL","small_airport","Phaplu Airport",27.517787,86.584454,7918,"AS","NP","NP-P1","Phaplu","yes","VNPL","PPL",,,"https://en.wikipedia.org/wiki/Phaplu_Airport",
32213,"VNRB","small_airport","Rajbiraj Airport",26.510066,86.733902,250,"AS","NP","NP-P2","Rajbiraj","no","VNRB","RJB",,,,
32209,"VNRC","small_airport","Ramechhap Airport",27.393999099731445,86.0614013671875,1555,"AS","NP","NP-P3","Ramechhap","no","VNRC","RHP",,,,
32236,"VNRK","small_airport","Rukum Chaurjahari Airport",28.627001,82.194021,2500,"AS","NP","NP-P6","Rukumkot","yes","VNCJ","RUK",,,"https://en.wikipedia.org/wiki/Rukumkot_Airport","VNRK, Rukumkot Airport"
32587,"VNRP","small_airport","Rolpa Airport",28.267292,82.756496,4100,"AS","NP","NP-P5","Rolpa","no","VNRP","RPA",,,,
32237,"VNRT","small_airport","Rumjatar Airport",27.303499221801758,86.55039978027344,4500,"AS","NP","NP-P1","Rumjatar","yes","VNRT","RUM",,,,
315124,"VNSB","small_airport","Syangboche Airport",27.8112,86.7124,12400,"AS","NP","NP-P1","Namche Bazaar","no","VNSB","SYH",,,"https://en.wikipedia.org/wiki/Syangboche_Airport","Syanboche"
26599,"VNSI","small_airport","Simara Airport",27.159803,84.980021,450,"AS","NP","NP-P2","Simara","yes","VNSI","SIF",,,"https://en.wikipedia.org/wiki/Simara_Airport",
